date(quarterly);taux_EURUSD;pib_US(Billions of Dollars);pib_EuroArea(Millions of Euros)
string;string;string;string
1999-Q2;1.056912307692308;9447.103;1636705.7
1999-Q3;1.048566666666667;9557.005;1651708.1
1999-Q4;1.037995384615384;9712.28;1674704.5
2000-Q1;0.986452307692308;9926.101;1700860.0
2000-Q2;0.9331983870967739;10031.031;1726319.2
2000-Q3;0.905238461538462;10278.34;1747809.1
2000-Q4;0.868301587301588;10357.445;1767531.1
2001-Q1;0.923215625;10472.285;1787682.5
2001-Q2;0.8725177419354839;10508.121;1817501.9
2001-Q3;0.890270769230769;10638.384;1832029.8
2001-Q4;0.8958793650793649;10639.486;1844281.6
2002-Q1;0.876596774193548;10701.317;1860469.0
2002-Q2;0.91881746031746;10834.445;1876902.9
2002-Q3;0.983751515151515;10934.752;1892245.8
2002-Q4;0.9993625;11037.057;1913196.8
2003-Q1;1.073138095238095;11103.834;1926027.5
2003-Q2;1.1372403225806451;11230.078;1932182.6
2003-Q3;1.124760606060606;11370.653;1942397.7
2003-Q4;1.1889859375;11625.137;1968020.2
2004-Q1;1.2497249999999989;11816.827;1986796.6
2004-Q2;1.204607936507937;11988.403;2007925.3
2004-Q3;1.2219878787878793;12181.398;2029950.9
2004-Q4;1.297678787878788;12367.744;2044586.9
2005-Q1;1.3112967741935477;12562.163;2063589.1
2005-Q2;1.259370769230769;12813.729;2075221.3
2005-Q3;1.219921212121212;12974.083;2099981.9
2005-Q4;1.1883890625;13205.445;2123050.6
2006-Q1;1.202301538461538;13381.629;2152367.1
2006-Q2;1.258243548387097;13648.904;2177345.2
2006-Q3;1.274296923076923;13799.794;2213818.1
2006-Q4;1.2886936507936508;13908.498;2239122.8
2007-Q1;1.3105859375;14066.37;2274631.8
2007-Q2;1.3481387096774191;14233.226;2312770.7
2007-Q3;1.373829230769231;14422.313;2337809.5
2007-Q4;1.4486078125;14569.675;2361500.6
2008-Q1;1.4976032258064509;14685.33;2390952.3
2008-Q2;1.5622125;14668.445;2415070.0
2008-Q3;1.5050227272727268;14812.974;2418957.0
2008-Q4;1.3179515625000011;14842.983;2410833.5
2009-Q1;1.3028603174603173;14549.949;2381365.2
2009-Q2;1.3631887096774191;14383.885;2317091.7
2009-Q3;1.430304545454545;14340.417;2309985.5
2009-Q4;1.4779430769230768;14384.145;2320112.9
2010-Q1;1.382907936507937;14566.511;2338424.2
2010-Q2;1.2707507936507938;14681.063;2348279.1
2010-Q3;1.291039393939394;14888.6;2376366.5
2010-Q4;1.358269696969696;15057.66;2395595.6
2011-Q1;1.3679890625;15230.208;2415010.3
2011-Q2;1.4390619047619042;15238.371;2439269.9
2011-Q3;1.41270303030303;15460.926;2445794.9
2011-Q4;1.3481546875;15587.125;2453966.1
2012-Q1;1.310823076923077;15785.312;2455262.1
2012-Q2;1.281420967741935;15973.881;2459834.2
2012-Q3;1.250244615384616;16121.851;2458378.0
2012-Q4;1.29669375;16227.939;2462249.1
2013-Q1;1.320629032258064;16297.349;2459768.0
2013-Q2;1.3062317460317459;16475.44;2462599.7
2013-Q3;1.324178787878789;16541.39;2481005.1
2013-Q4;1.3609796875;16749.349;2493417.2
2014-Q1;1.369631746031746;16999.888;2503937.6
2014-Q2;1.371072580645161;17031.324;2523333.4
2014-Q3;1.3255590909090909;17320.921;2528622.5
2014-Q4;1.2498046875;17622.257;2546165.2
2015-Q1;1.126142857142858;17735.933;2567798.1
2015-Q2;1.105270967741935;17874.715;2600856.6
2015-Q3;1.11165;18093.224;2618387.5
2015-Q4;1.095270769230769;18227.689;2638123.9
2016-Q1;1.101996774193549;18287.226;2657553.2
2016-Q2;1.129235384615384;18325.187;2672826.7
2016-Q3;1.116628787878787;18538.039;2684010.6
2016-Q4;1.0789453125;18729.13;2699092.1
2017-Q1;1.064796923076923;18905.545;2726472.4
2017-Q2;1.10213064516129;19057.705;2748596.4
2017-Q3;1.1746076923076922;19250.009;2782479.4
2017-Q4;1.1773857142857143;19500.602;2811225.0
2018-Q1;1.2292142857142858;19754.102;2836026.8
